fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
18141,St. Joseph County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18141,St. Joseph County,,True,M. Pence,Republican,1,100.0,Indiana,,
18149,Starke County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18149,Starke County,,True,M. Pence,Republican,1,100.0,Indiana,,
18151,Steuben County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18151,Steuben County,,True,M. Pence,Republican,1,100.0,Indiana,,
18153,Sullivan County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18153,Sullivan County,,True,M. Pence,Republican,1,100.0,Indiana,,
18155,Switzerland County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18155,Switzerland County,,True,M. Pence,Republican,1,100.0,Indiana,,
18157,Tippecanoe County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18157,Tippecanoe County,,True,M. Pence,Republican,1,100.0,Indiana,,
18159,Tipton County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18159,Tipton County,,True,M. Pence,Republican,1,100.0,Indiana,,
18161,Union County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18161,Union County,,True,M. Pence,Republican,1,100.0,Indiana,,
18163,Vanderburgh County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18163,Vanderburgh County,,True,M. Pence,Republican,1,100.0,Indiana,,
18165,Vermillion County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18165,Vermillion County,,True,M. Pence,Republican,1,100.0,Indiana,,
18167,Vigo County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18167,Vigo County,,True,M. Pence,Republican,1,100.0,Indiana,,
18169,Wabash County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18169,Wabash County,,True,M. Pence,Republican,1,100.0,Indiana,,
18171,Warren County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18171,Warren County,,True,M. Pence,Republican,1,100.0,Indiana,,
18173,Warrick County,,False,J. Gregg,Democratic,1,100.0,Indiana,,
18173,Warrick County,,True,M. Pence,Republican,1,100.0,Indiana,,
