fips,geo_name,individual_party,is_incumbent,name,party,rank,reporting_pct,state,vote_pct,votes
29021,Buchanan County,democrat,False,L. Steinman,Democratic,4,100.0,Missouri,5.5,243.0
29021,Buchanan County,republican,False,E. Greitens,Republican,1,100.0,Missouri,36.2,3247.0
29021,Buchanan County,republican,False,J. Brunner,Republican,2,100.0,Missouri,24.1,2165.0
29021,Buchanan County,republican,False,C. Hanaway,Republican,3,100.0,Missouri,22.7,2037.0
29021,Buchanan County,republican,False,P. Kinder,Republican,4,100.0,Missouri,17.0,1525.0
29021,Buchanan County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29023,Butler County,democrat,False,C. Koster,Democratic,1,100.0,Missouri,67.0,380.0
29023,Butler County,democrat,False,E. Morrison,Democratic,2,100.0,Missouri,15.7,89.0
29023,Butler County,democrat,False,C. Wheeler,Democratic,3,100.0,Missouri,9.7,55.0
29023,Butler County,democrat,False,L. Steinman,Democratic,4,100.0,Missouri,7.6,43.0
29023,Butler County,republican,False,E. Greitens,Republican,1,100.0,Missouri,37.6,2547.0
29023,Butler County,republican,False,P. Kinder,Republican,2,100.0,Missouri,32.6,2204.0
29023,Butler County,republican,False,J. Brunner,Republican,3,100.0,Missouri,19.3,1306.0
29023,Butler County,republican,False,C. Hanaway,Republican,4,100.0,Missouri,10.5,711.0
29023,Butler County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29025,Caldwell County,democrat,False,C. Koster,Democratic,1,100.0,Missouri,75.3,186.0
29025,Caldwell County,democrat,False,C. Wheeler,Democratic,2,100.0,Missouri,13.8,34.0
29025,Caldwell County,democrat,False,E. Morrison,Democratic,3,100.0,Missouri,7.7,19.0
29025,Caldwell County,democrat,False,L. Steinman,Democratic,4,100.0,Missouri,3.2,8.0
29025,Caldwell County,republican,False,E. Greitens,Republican,1,100.0,Missouri,43.0,515.0
29025,Caldwell County,republican,False,C. Hanaway,Republican,2,100.0,Missouri,19.9,238.0
29025,Caldwell County,republican,False,J. Brunner,Republican,3,100.0,Missouri,19.7,236.0
29025,Caldwell County,republican,False,P. Kinder,Republican,4,100.0,Missouri,17.4,209.0
29025,Caldwell County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29027,Callaway County,democrat,False,C. Koster,Democratic,1,100.0,Missouri,81.3,1200.0
29027,Callaway County,democrat,False,E. Morrison,Democratic,2,100.0,Missouri,8.4,124.0
29027,Callaway County,democrat,False,C. Wheeler,Democratic,3,100.0,Missouri,6.0,89.0
29027,Callaway County,democrat,False,L. Steinman,Democratic,4,100.0,Missouri,4.3,63.0
29027,Callaway County,republican,False,E. Greitens,Republican,1,100.0,Missouri,37.5,2396.0
29027,Callaway County,republican,False,C. Hanaway,Republican,2,100.0,Missouri,22.4,1429.0
29027,Callaway County,republican,False,P. Kinder,Republican,3,100.0,Missouri,21.7,1384.0
29027,Callaway County,republican,False,J. Brunner,Republican,4,100.0,Missouri,18.5,1182.0
29027,Callaway County,independent_or_other,False,C. Spragins,Independent,1,100.0,Missouri,,
29029,Camden County,democrat,False,C. Koster,Democratic,1,100.0,Missouri,80.8,965.0
29029,Camden County,democrat,False,E. Morrison,Democratic,2,100.0,Missouri,9.0,107.0
29029,Camden County,democrat,False,C. Wheeler,Democratic,3,100.0,Missouri,7.0,83.0
29029,Camden County,democrat,False,L. Steinman,Democratic,4,100.0,Missouri,3.3,39.0
