fips,geo_name,individual_party,is_incumbent,is_winner,name,rank,reporting_pct,state,vote_pct,votes
4,4th District Election,independent_or_other,False,False,K. Butkovich,6,100.0,Michigan,0.6,1838.0
5,5th District Election,democrat,True,True,D. Kildee,1,100.0,Michigan,61.2,195076.0
5,5th District Election,republican,False,False,A. Hardwick,2,100.0,Michigan,35.1,111908.0
5,5th District Election,independent_or_other,False,False,S. Sluka,3,100.0,Michigan,2.2,6999.0
5,5th District Election,independent_or_other,False,False,H. Mikkelson,4,100.0,Michigan,1.5,4894.0
6,6th District Election,republican,True,True,F. Upton,1,100.0,Michigan,58.6,192862.0
6,6th District Election,democrat,False,False,P. Clements,2,100.0,Michigan,36.4,119871.0
6,6th District Election,independent_or_other,False,False,L. Wenke,3,100.0,Michigan,4.9,16239.0
7,7th District Election,republican,True,True,T. Walberg,1,100.0,Michigan,55.0,183549.0
7,7th District Election,democrat,False,False,G. Driskell,2,100.0,Michigan,40.1,133697.0
7,7th District Election,independent_or_other,False,False,K. Proctor,3,100.0,Michigan,4.9,16402.0
8,8th District Election,republican,True,True,M. Bishop,1,100.0,Michigan,56.0,205617.0
8,8th District Election,democrat,False,False,S. Shkreli,2,100.0,Michigan,39.2,143775.0
8,8th District Election,independent_or_other,False,False,J. Wood,3,100.0,Michigan,2.6,9615.0
8,8th District Election,independent_or_other,False,False,M. Green,4,100.0,Michigan,1.5,5677.0
8,8th District Election,independent_or_other,False,False,J. Burgess,5,100.0,Michigan,0.6,2250.0
9,9th District Election,democrat,True,True,S. Levin,1,100.0,Michigan,57.9,199620.0
9,9th District Election,republican,False,False,C. Morse,2,100.0,Michigan,37.4,128907.0
9,9th District Election,independent_or_other,False,False,M. Orlando,3,100.0,Michigan,2.8,9562.0
9,9th District Election,independent_or_other,False,False,J. McDermott,4,100.0,Michigan,1.9,6612.0
10,10th District Election,republican,False,True,P. Mitchell,1,100.0,Michigan,63.0,214164.0
10,10th District Election,democrat,False,False,F. Accavitti,2,100.0,Michigan,32.3,109875.0
10,10th District Election,independent_or_other,False,False,L. Gioia,3,100.0,Michigan,3.1,10582.0
10,10th District Election,independent_or_other,False,False,B. Nofs,4,100.0,Michigan,1.5,5113.0
11,11th District Election,republican,True,True,D. Trott,1,100.0,Michigan,52.9,200787.0
11,11th District Election,democrat,False,False,A. Kumar,2,100.0,Michigan,40.2,152359.0
11,11th District Election,independent_or_other,False,False,K. Bentivolio,3,100.0,Michigan,4.4,16597.0
11,11th District Election,independent_or_other,False,False,J. Osment,4,100.0,Michigan,2.5,9535.0
12,12th District Election,democrat,True,True,D. Dingell,1,100.0,Michigan,64.4,210922.0
12,12th District Election,republican,False,False,J. Jones,2,100.0,Michigan,29.2,95823.0
12,12th District Election,independent_or_other,False,False,G. Walkowicz,3,100.0,Michigan,2.8,9177.0
12,12th District Election,independent_or_other,False,False,T. Bagwell,4,100.0,Michigan,2.3,7478.0
12,12th District Election,independent_or_other,False,False,D. Calewarts,5,100.0,Michigan,1.3,4370.0
13,13th District Election,democrat,True,True,J. Conyers,1,100.0,Michigan,77.0,197173.0
13,13th District Election,republican,False,False,J. Gorman,2,100.0,Michigan,15.8,40483.0
13,13th District Election,independent_or_other,False,False,T. Hayden,3,100.0,Michigan,3.7,9600.0
13,13th District Election,independent_or_other,False,False,S. Johnson,4,100.0,Michigan,3.4,8778.0
14,14th District Election,democrat,True,True,B. Lawrence,1,100.0,Michigan,78.5,244220.0
14,14th District Election,republican,False,False,H. Klausner,2,100.0,Michigan,18.7,58111.0
14,14th District Election,independent_or_other,False,False,G. Creswell,3,100.0,Michigan,1.6,4898.0
14,14th District Election,independent_or_other,False,False,M. Squier,4,100.0,Michigan,1.2,3851.0
1,1st District Election,democrat,True,True,T. Walz,1,100.0,Minnesota,50.4,169076.0
1,1st District Election,republican,False,False,J. Hagedorn,2,100.0,Minnesota,49.6,166527.0
2,2nd District Election,republican,False,True,J. Lewis,1,100.0,Minnesota,47.0,174030.0
2,2nd District Election,democrat,False,False,A. Craig,2,100.0,Minnesota,45.2,167071.0
2,2nd District Election,independent_or_other,False,False,P. Overby,3,100.0,Minnesota,7.8,28845.0
3,3rd District Election,republican,True,True,E. Paulsen,1,100.0,Minnesota,56.9,223075.0
3,3rd District Election,democrat,False,False,T. Bonoff,2,100.0,Minnesota,43.1,169238.0
4,4th District Election,democrat,True,True,B. McCollum,1,100.0,Minnesota,57.8,202558.0
4,4th District Election,republican,False,False,G. Ryan,2,100.0,Minnesota,34.5,120871.0
4,4th District Election,independent_or_other,False,False,S. Pendergast Sindt,3,100.0,Minnesota,7.7,27109.0
5,5th District Election,democrat,True,True,K. Ellison,1,100.0,Minnesota,69.2,249957.0
5,5th District Election,republican,False,False,F. Drake,2,100.0,Minnesota,22.3,80660.0
5,5th District Election,independent_or_other,False,False,D. Schuller,3,100.0,Minnesota,8.5,30759.0
6,6th District Election,republican,True,True,T. Emmer,1,100.0,Minnesota,65.7,235384.0
6,6th District Election,democrat,False,False,D. Snyder,2,100.0,Minnesota,34.3,123012.0
7,7th District Election,democrat,True,True,C. Peterson,1,100.0,Minnesota,52.5,173571.0
7,7th District Election,republican,False,False,D. Hughes,2,100.0,Minnesota,47.5,156950.0
8,8th District Election,democrat,True,True,R. Nolan,1,100.0,Minnesota,50.3,179106.0
